"glm_scores","glm_class","rf_scores","rf_class","xgbTree_scores","xgbTree_class","nnet_scores","nnet_class"
"0.830678597376344","Bad","0.914","Bad","0.851934656500816","Good","0.804047400569823","Bad"
"0.396200329414531","Bad","0.34","Bad","0.372148871421814","Bad","0.361814926882679","Bad"
"0.864938776874287","Good","0.936","Bad","0.639913320541382","Bad","0.868004449610851","Good"
"0.869137663498972","Good","0.982","Good","0.901387937366962","Good","0.891446179720255","Good"
"0.832544669798747","Bad","0.922","Bad","0.82488127052784","Bad","0.832504655067582","Bad"
"0.889999152747252","Good","0.986","Good","0.85732527077198","Good","0.893927474436486","Good"
"0.945240667006478","Good","0.96","Good","0.90873771160841","Good","0.94492097253458","Good"
"0.944085261430061","Good","0.982","Good","0.985276215709746","Good","0.930689952930058","Good"
"0.850219837372257","Good","0.952","Good","0.883384570479393","Good","0.843642790463345","Bad"
"0.948132337344654","Good","0.954","Good","0.951285324990749","Good","0.939977886683486","Good"
"0.222739101687479","Bad","0.326","Bad","0.195880234241486","Bad","0.276871689442744","Bad"
"0.866134035083367","Good","0.994","Good","0.928528174757957","Good","0.874486991306099","Good"
"0.963104822964059","Good","0.974","Good","0.955102894455194","Good","0.954260326067358","Good"
"0.848208560286347","Good","0.956","Good","0.821334600448608","Bad","0.855509530232713","Good"
"0.857402264712452","Good","0.988","Good","0.888635694980621","Good","0.871805483376529","Good"
"0.943934759743875","Good","0.954","Good","0.944785095751286","Good","0.945000819933834","Good"
"0.852444042047645","Good","0.976","Good","0.897442728281021","Good","0.853029086802203","Good"
"0.830863906301057","Bad","0.942","Bad","0.876203097403049","Good","0.837667744741785","Bad"
"0.87038818665702","Good","0.972","Good","0.85870161652565","Good","0.884911843054185","Good"
"0.751842422168002","Bad","0.752","Bad","0.813051924109459","Bad","0.66305791479522","Bad"
"0.859166518276325","Good","0.942","Bad","0.837698891758919","Good","0.885362595197969","Good"
"0.815941821378814","Bad","0.988","Good","0.789680063724518","Bad","0.823631004662562","Bad"
"0.245875609397808","Bad","0.298","Bad","0.324226915836334","Bad","0.273647741455723","Bad"
"0.905755820169514","Good","0.982","Good","0.937504768371582","Good","0.90793667845842","Good"
"0.91174107881519","Good","0.996","Good","0.93134568631649","Good","0.924268820134517","Good"
"0.880745318069215","Good","0.958","Good","0.883756101131439","Good","0.87679378294891","Good"
"0.897005804119889","Good","0.994","Good","0.933366723358631","Good","0.901160736289437","Good"
"0.856555751144561","Good","0.984","Good","0.864591434597969","Good","0.872107625445432","Good"
"0.237443750391945","Bad","0.184","Bad","0.26773202419281","Bad","0.366350866451006","Bad"
"0.85200004626479","Good","0.964","Good","0.902075134217739","Good","0.861110445707108","Good"
"0.395707601386293","Bad","0.504","Bad","0.854381576180458","Good","0.363800921306822","Bad"
"0.919457302169503","Good","0.886","Bad","0.90897149592638","Good","0.902121674308032","Good"
"0.597276738886712","Bad","0.52","Bad","0.524039149284363","Bad","0.571902445473273","Bad"
"0.882861958322759","Good","0.94","Bad","0.875173091888428","Good","0.862491955517298","Good"
"0.849886575320408","Good","0.966","Good","0.862813130021095","Good","0.863088638624834","Good"
"0.936342771056315","Good","0.972","Good","0.944329585880041","Good","0.921840989355238","Good"
"0.929028758990402","Good","0.996","Good","0.961462572216988","Good","0.927822727229719","Good"
"0.843818287687841","Good","0.982","Good","0.839634776115417","Good","0.854466546894163","Good"
"0.91073648762954","Good","0.994","Good","0.937050051987171","Good","0.920247677165694","Good"
"0.803732500008544","Bad","0.806","Bad","0.737774789333344","Bad","0.760012429572254","Bad"
"0.34813675459571","Bad","0.436","Bad","0.376726984977722","Bad","0.41575561013014","Bad"
"0.90707056585938","Good","0.914","Bad","0.940282974392176","Good","0.887784584412252","Good"
"0.442248821141658","Bad","0.342","Bad","0.301931619644165","Bad","0.39920619275876","Bad"
"0.345150448265929","Bad","0.416","Bad","0.420320510864258","Bad","0.361918356362377","Bad"
"0.265475236932478","Bad","0.548","Bad","0.382122695446014","Bad","0.34391259325818","Bad"
"0.316130234350421","Bad","0.356","Bad","0.337147057056427","Bad","0.308515252155367","Bad"
"0.889855878750202","Good","0.99","Good","0.883964866399765","Good","0.900155350516965","Good"
"0.934280025127444","Good","0.982","Good","0.934357888996601","Good","0.930234548291325","Good"
"0.895068462550557","Good","0.992","Good","0.946665365248919","Good","0.904071775724155","Good"
"0.902104727568926","Good","0.97","Good","0.900684110820293","Good","0.905698062879974","Good"
"0.864624969034228","Good","0.994","Good","0.867835223674774","Good","0.875286179102046","Good"
"0.390246535065032","Bad","0.426","Bad","0.375323534011841","Bad","0.338363506932627","Bad"
"0.890664129527235","Good","0.948","Bad","0.919828549027443","Good","0.886020078746807","Good"
"0.863537194978535","Good","0.994","Good","0.909242756664753","Good","0.884188040741298","Good"
"0.697093911595108","Bad","0.662","Bad","0.684749931097031","Bad","0.702472511696995","Bad"
"0.859895314957619","Good","0.992","Good","0.886827111244202","Good","0.874362307985545","Good"
"0.852570413755995","Good","0.856","Bad","0.834313377737999","Bad","0.754053367044676","Bad"
"0.911575837934056","Good","0.992","Good","0.925318665802479","Good","0.915608601399689","Good"
"0.84344814821727","Bad","0.868","Bad","0.788851007819176","Bad","0.826819202895734","Bad"
"0.86058552783597","Good","0.96","Good","0.894113779067993","Good","0.861810670416632","Good"
"0.932743964964002","Good","0.948","Bad","0.952233590185642","Good","0.908121008984093","Good"
"0.813377789325261","Bad","0.964","Good","0.804589167237282","Bad","0.823902307297651","Bad"
"0.964909995228465","Good","0.982","Good","0.853153005242348","Good","0.956174454101068","Good"
"0.40979591339286","Bad","0.408","Bad","0.336016833782196","Bad","0.343174137930374","Bad"
"0.906821946529049","Good","0.996","Good","0.922413386404514","Good","0.906697793562925","Good"
"0.848538191504246","Good","0.926","Bad","0.796256244182587","Bad","0.840887276099209","Bad"
"0.839339637734203","Bad","0.974","Good","0.854915097355843","Good","0.848641869932853","Bad"
"0.927989722981916","Good","0.956","Good","0.898144006729126","Good","0.909263458284278","Good"
"0.831116904689333","Bad","0.904","Bad","0.824239879846573","Bad","0.824830129676607","Bad"
"0.944887826211112","Good","0.998","Good","0.977699207141995","Good","0.940532302986058","Good"
"0.78396335476788","Bad","0.904","Bad","0.806266352534294","Bad","0.752214162656542","Bad"
"0.88772679140259","Good","0.884","Bad","0.853417262434959","Good","0.875969257160991","Good"
"0.933901653692914","Good","0.96","Good","0.944940108805895","Good","0.92956885806655","Good"
"0.940062906840546","Good","0.932","Bad","0.948554825037718","Good","0.904295999723322","Good"
"0.903531890236276","Good","0.992","Good","0.933607839047909","Good","0.902493913033675","Good"
"0.886322998439459","Good","0.998","Good","0.915701501071453","Good","0.889955481887102","Good"
"0.914141927083825","Good","0.984","Good","0.949946973472834","Good","0.91771698909852","Good"
"0.934473856686115","Good","1","Good","0.946463711559772","Good","0.939552609360142","Good"
"0.927640394760359","Good","0.962","Good","0.79711040854454","Bad","0.920566724233735","Good"
"0.863555492162114","Good","0.98","Good","0.888623274862766","Good","0.878490847011921","Good"
"0.908022064658822","Good","0.99","Good","0.939530603587627","Good","0.908219951445051","Good"
"0.896461501389454","Good","0.992","Good","0.941825792193413","Good","0.903273318629133","Good"
"0.886926006756791","Good","0.904","Bad","0.958347603678703","Good","0.868827094927919","Good"
"0.914623010126841","Good","0.958","Good","0.915390893816948","Good","0.919475214571985","Good"
"0.882645736170141","Good","0.976","Good","0.917943790555","Good","0.894894589182791","Good"
"0.925697180221536","Good","0.99","Good","0.948478113859892","Good","0.909182250106072","Good"
"0.822870660404985","Bad","0.968","Good","0.929602064192295","Good","0.879867623787739","Good"
"0.7440814148111","Bad","0.6","Bad","0.647360891103745","Bad","0.638790470750308","Bad"
"0.842924381391753","Bad","0.97","Good","0.796486482024193","Bad","0.860196945839296","Good"
"0.742561683771826","Bad","0.778","Bad","0.741022348403931","Bad","0.67657561900933","Bad"
"0.537821156758487","Bad","0.456","Bad","0.557337522506714","Bad","0.498993298030529","Bad"
"0.897187888319097","Good","0.99","Good","0.925565615296364","Good","0.909202972130808","Good"
"0.507543268689953","Bad","0.338","Bad","0.47199535369873","Bad","0.438622177296226","Bad"
"0.318483374537254","Bad","0.328","Bad","0.302642345428467","Bad","0.340408534599393","Bad"
"0.924336474797816","Good","0.974","Good","0.943581491708755","Good","0.925738994679116","Good"
"0.890726511053817","Good","0.948","Bad","0.925501942634583","Good","0.888678688043228","Good"
"0.652703306665926","Bad","0.572","Bad","0.62485334277153","Bad","0.602354695296856","Bad"
"0.768314651671307","Bad","0.646","Bad","0.715308606624603","Bad","0.724050006411139","Bad"
"0.869465285212527","Good","0.974","Good","0.766561239957809","Bad","0.883857101434457","Good"
"0.761927640014889","Bad","0.884","Bad","0.787489399313927","Bad","0.730344843893839","Bad"
"0.856024808427","Good","0.886","Bad","0.84870271384716","Good","0.901728482224147","Good"
"0.819268161983985","Bad","0.96","Good","0.840649381279945","Good","0.833857755974045","Bad"
"0.641217109748679","Bad","0.784","Bad","0.676943451166153","Bad","0.646164168265457","Bad"
"0.932373769226346","Good","0.992","Good","0.900475785136223","Good","0.933187981580407","Good"
"0.627354985628556","Bad","0.716","Bad","0.582828015089035","Bad","0.640786442520315","Bad"
"0.170366221573535","Bad","0.122","Bad","0.203237354755402","Bad","0.227893668801057","Bad"
"0.907693270185413","Good","0.982","Good","0.889910116791725","Good","0.910867590427658","Good"
"0.882275521342429","Good","0.988","Good","0.897668465971947","Good","0.901907275591589","Good"
"0.937228176973661","Good","0.988","Good","0.948611572384834","Good","0.941608824439324","Good"
"0.917379294465747","Good","0.99","Good","0.836776241660118","Good","0.925584376337938","Good"
"0.93320255885714","Good","0.914","Bad","0.780962705612183","Bad","0.907375008258194","Good"
"0.860869617893425","Good","0.982","Good","0.905139796435833","Good","0.878343513383245","Good"
"0.834748663602202","Bad","0.962","Good","0.841487646102905","Good","0.844329592319691","Bad"
"0.835420001049168","Bad","0.95","Good","0.908953696489334","Good","0.850225914725133","Bad"
"0.894625555575082","Good","0.984","Good","0.92166293412447","Good","0.901350944356778","Good"
"0.95035792731108","Good","0.978","Good","0.948900476098061","Good","0.936839275396095","Good"
"0.152250392637942","Bad","0.154","Bad","0.228521883487701","Bad","0.225465445581804","Bad"
"0.579606246541936","Bad","0.65","Bad","0.576460599899292","Bad","0.636710925881047","Bad"
"0.847632332330147","Good","0.99","Good","0.87091663479805","Good","0.862614035559383","Good"
"0.838670891846684","Bad","0.908","Bad","0.854417249560356","Good","0.820163939975378","Bad"
"0.843934044044507","Good","0.962","Good","0.841225028038025","Good","0.861681855237742","Good"
"0.197428932389931","Bad","0.334","Bad","0.425353169441223","Bad","0.268259197227631","Bad"
"0.76049304084279","Bad","0.91","Bad","0.719636857509613","Bad","0.730836452994953","Bad"
"0.826518509887836","Bad","0.94","Bad","0.806221425533295","Bad","0.8400328249848","Bad"
"0.740984386322191","Bad","0.576","Bad","0.72804781794548","Bad","0.689755577189771","Bad"
"0.624916973812577","Bad","0.632","Bad","0.637254476547241","Bad","0.589613809959425","Bad"
"0.609856650282347","Bad","0.564","Bad","0.531169325113297","Bad","0.554531694473608","Bad"
