"glm_scores","glm_class","rf_scores","rf_class","xgbTree_scores","xgbTree_class","nnet_scores","nnet_class"
"1","Bad","0.914","Bad","0.805273741483688","Bad","0.791687291908979","Bad"
"1","Bad","0.308","Bad","0.339740872383118","Bad","0.355683892279398","Bad"
"1","Bad","0.916","Bad","0.688428550958633","Bad","0.847680761616513","Bad"
"1","Bad","0.974","Good","0.935859315097332","Good","0.900986729366643","Good"
"1","Bad","0.938","Bad","0.84929446876049","Good","0.831518224645611","Bad"
"1","Bad","0.99","Good","0.849605098366737","Good","0.887270286678321","Good"
"1","Bad","0.948","Good","0.92061959952116","Good","0.947177331278879","Good"
"1","Bad","0.994","Good","0.987855009734631","Good","0.934350199512786","Good"
"1","Bad","0.956","Good","0.906480215489864","Good","0.841548412638407","Bad"
"2.22044604925031e-16","Bad","0.956","Good","0.937646735459566","Good","0.939803675190924","Good"
"2.22044604925031e-16","Bad","0.296","Bad","0.156515538692474","Bad","0.220299612142939","Bad"
"1","Bad","0.978","Good","0.916002824902534","Good","0.879415246203847","Good"
"1","Bad","0.982","Good","0.980446761474013","Good","0.956864796317301","Good"
"1","Bad","0.984","Good","0.856393560767174","Good","0.845111427407077","Bad"
"1","Bad","0.97","Good","0.882989108562469","Good","0.863306969554671","Good"
"2.22044604925031e-16","Bad","0.952","Good","0.96397927030921","Good","0.946715016045273","Good"
"1","Bad","0.972","Good","0.893831491470337","Good","0.849964303941981","Good"
"1","Bad","0.942","Bad","0.89096287637949","Good","0.853986438198498","Good"
"1","Bad","0.966","Good","0.893322840332985","Good","0.884136206956994","Good"
"2.22044604925031e-16","Bad","0.742","Bad","0.748577326536179","Bad","0.632699501335544","Bad"
"1","Bad","0.93","Bad","0.876351453363895","Good","0.877429897505092","Good"
"1","Bad","0.978","Good","0.795988649129868","Bad","0.823604476534302","Bad"
"2.22044604925031e-16","Bad","0.36","Bad","0.385799646377563","Bad","0.351716480147587","Bad"
"1","Bad","0.972","Good","0.9260343760252","Good","0.910403171550161","Good"
